TD 10.G (I will be using the time in F13's time)
Date  	TS    	HU    	Wind    Press 	 Lat  	  Long
7/20    99      40      35      1002     5        147
+6      99      50      45      1000     4.4      148
+12     99      70      60      996      4        150
+18     99      90      70      993      3.7      153
+24     99      99      75      990      4.3      155
+30     99      70      60      997      4.8      157
+36     99      20      50      999      5.1      155
+42     99      00      45      1000     4.8      152
+48     00      00      35      1003     4.3      150
+54     00      00      20      1010     4        148
